;[ 5.42333 43.52833];[ 6.3861 43.3831];[ 5.78333 43.96167];[ 5.41333 43.88   ]
2012-11-30;103.09999980032444;106.49999982863665;108.59999880939722;113.19999945908785
2012-12-31;39.7999996393919;49.299999967217445;45.99999962002039;42.10000063478947
2013-01-31;29.400000162422657;44.10000002384186;33.899999774992466;29.89999970793724
2013-02-28;9.7000000923872;19.69999973475933;11.800000093877316;9.699999995529652
2013-03-31;72.99999922513962;95.79999942332506;118.09999955445528;94.1000001206994
2013-04-30;73.40000010281801;85.19999883323908;105.59999907016754;99.59999959170818
2013-05-31;59.50000049173832;78.00000047683716;132.70000003278255;100.200000166893
2013-06-30;23.900000125169754;25.099999837577343;33.89999998360872;27.89999994635582
2013-07-31;27.799999818205833;22.300000205636024;76.20000057667494;45.49999933689833
2013-08-31;19.800000078976154;21.10000019520521;48.5;46.49999963492155
